review,classification,Disgust,Disappointment,Sadness,Confusion,Anger,Fear,Indifference,Surprise,Interest,Happiness,Touched,Motivation,Reflective
"this movie is outrageous. by outrageous, i mean awful. i had more fun watching the paint dry at my local hardware store on an august day while suffering from a migraine and heat stroke. the acting got progressively worse as the ""movie"" advanced, and the directors use of euphoric drugs became apparent as the final scenes approached. when misty was shot to death she decided that it would be prudent to blink post mordem. that was not intelligent. truthfully, stevie wonder could have caught that with his eyes closed. if you are deciding between playing with a nail gun while intoxicated and watching this movie, bear in mind that the nail gun will probably give you a better story to tell your friends.",negative,1,1,0,0,1,0,1,0,0,0,0,0,0
"This is a depressingly shallow, naive and mostly unfunny look at a wildly improbable relationship between Brooks' psychotic film editor and Harold, his vapid girlfriend. The two have ZERO chemistry together - primarily because Harold is incapable of doing anything besides looking pretty at this stage of her career; but also because Brooks' character is neither interesting nor likeable. There are 15 static, excruciating minutes at the beginning where Brooks, having just broke up with Harold, stumbles about his apartment in a depressed, drugged out state - unbearable.<br /><br />Sappily and unimaginatively bookended by Joe Cocker's ""You Are So Beautiful"", there simply is not enough material here for a feature film. There is hardly anything going on on the periphery of their relationship to give the appearance that these people exist in a real world. I'm sure Brooks' intention was to shine a white hot spotlight on the affair and, in a way, deconstruct it; but if you're going to do that the writing and acting needs to be far far better than what it is here.",negative,0,1,1,1,0,0,1,0,0,0,0,0,0
"Clair Denis again revisits her theme of estranged fathers, men who follow their own bliss in determined fashion, heedless of the emotion toll on their family but while N__ette and Boni from the earlier film live in a narrow world of Marseilles, our examination of Louis Trebor in The Intruder takes us from a remote location along the French-Swiss border to half way around the world, to Korea and Tahiti. Again the film begins in mid stream, with Louis, in his sixties, coping with an ailing heart while attempting to maintain a high level of fitness. We learn that Louis is no stranger to violence as his cabin is the location for smuggling and gunfire a regular occurrence. Louis sleeps with a large knife under his pillow with rifles nearby. Denis is in no hurry to move the action along, and we must patiently build our understanding of Louis from his daily activities and the few people he deals with along the frontier including a son, Sidney (Gr__oire Colin, almost unrecognizable with long hair and a wisp of a mustache) who rejects him as a ""lunatic"":, shown as a dedicated father of two. There are many brief scenes which, while seemingly unrelated, build up an impression of Louis and his milieu. Ms Godard's camera work is exhilarating here. The controlling metaphor is Louis's heart transplant for which he goes to Korea and then to Tahiti to search for another son, not found, and where Louis's new heart rejects him just as Sidney rejected the old. We are accustomed to brief scenes in Denis's film which are inexplicable: N__ette astride Boni feeding with a spoon; a drive by shooting of Boni's father and then the briefest of images of Boni with a gunshot wound in the head; a scene of Louis in a morgue with a cadaver with the scar of a transplant but the body of Sidney. The implication, of the last two, is a rejection, real or imagined, by a father, kills something indefinable in a son.",positive,0,0,0,1,0,0,0,0,1,0,0,0,1
"First off, I hadn't seen ""The Blob"" since I was 7 or 8 and viewing it as an adult was an incredible experience. Pages could be written on its influence on horror films even today. And even more could be written on its social subtext with the 50s ""fear of teenagers"". But this simple little tale of interplanetary horror is still a damn fine scary movie if you let it be.<br /><br />Sure, it looks cheesy as all get out in our modern world. But ""The Blob"" packs in some genuinely frightening moments as a band of kids track the unstoppable creature when then adults don't believe them. In fact, there are even some pretty bleak moments in its candy-colored world. And Steve McQueen gives so much more than the story deserved on paper that we the viewers really get caught in the moment and believe in him.<br /><br />To sum up, if you can take off your postmodern irony filter, there's a lot more to love here than meets the eye.",positive,0,0,0,0,0,0,0,1,1,1,0,0,0
"I will spend a few days dedicated to Ron Howard before I swear off his work entirely. Having, unfortunately, dealt with Lucas at such a young age, Howard is now caught up in so many of Lucas' traits. How else do you explain his rampage of disasters? His only useful film, of course, has been 'Willow'. Everything else, including this, is too reliant on superficial junk.<br /><br />Some spoilers.<br /><br />He can't even have semi-intelligent focus like Peter Weir. No, poor Howard so stuck on his Spielbergian knockoff qualities that he will be quickly forgotten. <br /><br />Here we have the old adage: ""love conquers all, even disease."" Too bad for Howard that Lynch already got through the whole subtext with more skill. Heck, even Disney did better than this. Ron even goofs up on the possibilities presented by imagined realities.<br /><br />Howard's commentary track is just awful. Don't even rent the DVD.<br /><br />Final Analysis = = Cinematic Dud",negative,1,1,0,0,1,0,1,0,0,0,0,0,0
"I had the TV on for a white noise companion and heard"" $400 for a fully furnished apartment"" So I ran into the TV room expecting another 70's flick and got much more. Luckily, I could rewind to the beginning (DVR buffer) and hit the record button to watch it entirely.(Cinemax uncut and in HD no less!) Aside from some holes in the story and intermittent improbable dialog/events, this is an effective thriller worthy of your time to watch. Pretty creepy and progressive at times: Beverly D'Angelo's character masturbates in front of Alison Parker, played adroitly by Cristina Raines, Parker stabs, in very gory fashion, her father, an explicit menage a trios scene.( don't let the kids watch) The film is TOTALLY 70's full of bad clothes(polyester suits and tacky ascots) and decor, bad hair,over bloated music score, and familiar looking cinematography. The cast is excellent, take a second on this film's home page to check it out.It was a surprise to see Christopher Walken, Jerry Orbach and Jeff Goldblum so young. Sylvia Miles- always wonderfully creepy! ENJOY!",positive,0,0,0,1,0,1,0,1,1,1,0,0,0
"One of the finest pieces of television drama of the last decade. Throughout the five hours, ones perceptions and sympathies are constantly challenged as it explores many facets of modern day British society. David Morrisey is, as usual, brilliant. At first coming across as a heavy handed copper in conflict with the heroine, but then proving to be intelligent and caring, as he works with her in uncovering the truth. I have never seen Surrane Jones before. I believe she comes from the world of television soaps. Her performance was magnificent, as she maintains her humour and composure whilst trying to balance the demands of the case and the stress of caring for her mother. I could go on and talk about every member of the cast who contributes to this magnificent drama, but their efforts would mean little without such an absorbing script that constantly challenges your assumptions about any of the characters. It is programmes like this that restore one's faith in television drama, whilst at the same time making it almost impossible to settle for most of the garbage that is increasingly filling the airwaves.",positive,0,0,0,0,0,0,0,0,1,1,1,1,1
"This film is pure Elvira and shows her at her breast... I mean best! The story (co-written by Cassandra Peterson, Elvira's alter ego) is inspiring and captivating and is brought to life by Elvira's wit and charm. The viewer gets an opportunity to see Elvira in a whole new light as she struggles with the prejudices of the people of Fallwell, Massachusetts (where she has travelled from Los Angeles in order to attend the reading of her Great Aunt Morganna's will) and at the same time tries to help the long-suffering teenagers who have been deprived of fun by the matriarchal Chastity Pariah and the rest of the town council. She also has to deal with her attraction to Bob Redding, the owner of the local cinema, and another woman (Patty) who has her eye on Bob as well but is not nearly as deserving of his love as Elvira. And, later in the movie, she also faces the complications of being descended from ''a major metaphysical celebrity'' and the charges of witchcraft brought against her which mean that she will be burnt at the stake. Elvira manages to be both sexy and vulnerable, streetwise and naive in this film, while cracking risque jokes and delivering off-beat lines with double meanings.<br /><br />This movie is inspiring because it gives out the message of never giving up on yourself and always trying to follow your dreams. In the end Elvira's dreams finally come true, which is the best thing that could happen to this wonderfully unique and determined woman.<br /><br />I've seen this movie countless times and I never ever get tired of it! There are no unnecessary scenes and I found myself captivated throughout the whole movie. A review will not do justice to the actual movie, so I can just tell you to PLEASE watch it because it is one of the best movies ever made! Meanwhile, I wish you ''unpleasant dreams!''",positive,0,0,0,0,0,0,0,0,1,1,1,1,0
"Because IT IS, that's why! This is the same jealous-daughter-kills-people flick we've seen a billion times. Rosanna Arquette makes anything worth watching, and Mandy Schaffer's brief nude scene (after teasing via scantily clad attire throughout the film) at the end almost make this trite blarney worthwhile, but not quite.<br /><br />* out of ****",negative,0,1,0,0,0,0,1,0,0,0,0,0,0
"The Hamiltons tells the story of the four Hamilton siblings, teenager Francis (Cory Knauf), twins Wendell (Joseph McKelheer) & Darlene (Mackenzie Firgens) & the eldest David (Samuel) who is now the surrogate parent in charge. The Hamilton's move house a lot, Franics is unsure why& is unhappy with the way things are. The fact that his brother's & sister kidnap, imprison & murder people in the basement doesn't help relax or calm Francis' nerves either. Francis know's something just isn't right & when he eventually finds out the truth things will never be the same again...<br /><br />Co-written, co-produced & directed by Mitchell Altieri & Phil Flores as The Butcher Brothers (who's only other film director's credit so far is the April Fool's Day (2008) remake, enough said) this was one of the 'Films to Die For' at the 2006 After Dark Horrorfest (or whatever it's called) & in keeping with pretty much all the other's I've seen I thought The Hamiltons was complete total & utter crap. I found the character's really poor, very unlikable & the slow moving story failed to capture my imagination or sustain my interest over it's 85 & a half minute too long 86 minute duration. The there's the awful twist at the end which had me laughing out loud, there's this really big sustained build up to what's inside a cupboard thing in the Hamiltons basement & it's eventually revealed to be a little boy with a teddy. Is that really supposed to scare us? Is that really supposed to shock us? Is that really something that is supposed to have us talking about it as the end credits roll? Is a harmless looking young boy the best 'twist' ending that the makers could come up with? The boring plot plods along, it's never made clear where the Hamiltons get all their money from to buy new houses since none of them seem to work (except David in a slaughterhouse & I doubt that pays much) or why they haven't been caught before now. The script tries to mix in every day drama with potent horror & it just does a terrible job of combining the two to the extent that neither aspect is memorable or effective. A really bad film that I am struggling to say anything good about.<br /><br />Despite being written & directed by the extreme sounding Butcher Brothers there's no gore here, there's a bit of blood splatter & a few scenes of girls chained up in a basement but nothing you couldn't do at home yourself with a bottle of tomato ketchup & a camcorder. The film is neither scary & since it's got a very middle-class suburban setting there's zero atmosphere or mood. There's a lesbian & suggest incestuous kiss but The Hamiltons is low on the exploitation scale & there's not much here for the horror crowd.<br /><br />Filmed in Petaluma in California this has that modern low budget look about it, it's not badly made but rather forgettable. The acting by an unknown (to me) cast is nothing to write home about & I can't say I ever felt anything for anyone.<br /><br />The Hamiltons commits the cardinal sin of being both dull & boring from which it never recovers. Add to that an ultra thin story, no gore, a rubbish ending & character's who you don't give a toss about & you have a film that did not impress me at all.",negative,1,1,0,0,1,0,1,0,0,0,0,0,0
