Review,Classification,Disgust,Disappointment,Sadness,Confusion,Anger,Fear,Indifference,Surprise,Interest,Happiness,Touched,Motivation,Reflective
"Perhaps I'm not a sophisticate. This and Closer are two of the more supposedly cerebral films I've seen recently, and both suffer from exactly the same problem to an excruciating extent. The dialogue is false false false. Nothing that comes out of anyone's mouth seems remotely believable. Perhaps the way this film is set up that's the way it's supposed to feel, but it was unwatchable. And boring. I walked out after 20 minutes of tedium.<br /><br />I'll stick with Sleeper and Bananas for my Woody Allen fix. If I ever come across this on the teevee, I'll turn over and try to find an episode of Quincy instead.",negative,1,1,0,0,0,0,1,0,0,0,0,0,0
"I saw his film at the Ann Arbor Film Festival. I am a film student at the Univeristy of Michigan so I know a thing or two about film. And Crispin Glover's film is outrageous. He basically exploits the mentally challenged. Not only is Shirly Temple the anti-Christ (which I admit is a little funny) telling the mentally challenged to kill each other, but there is an obsession with killing snails. Crispin also plays with the idea of being in love with one of his actors who is as they all are, mentally challenged. PETA and Human Rights should be all over this thing. It's not 'counter-culture' as Crispin stated at the Ann Arbor Film Festival, it's exploitation.",negative,1,1,0,0,1,0,0,0,0,0,0,0,0
"Dark Rising is your typical bad, obviously quickly produced horror/sci-fi/fantasy movie. It has a strange, unexplained plot with holes so big you could fit an elephant through them. Most of the time I didn't know what the hell was going on but it didn't really matter, it was a simple demon hunter returns from hell dimension to save campers story with confusing stuff added on about witches and a book of evil with plot elements and characters who make no sense or disappear totally for no reason. The acting is bad but there honestly is not much they can do with this script I am guessing. There is a couple topless scenes which is probably the only reason this bad movie got made (like so many other bad movies). Give this one a pass unless there is nothing else on T.V.",negative,0,1,0,1,0,0,1,0,0,0,0,0,0
"SHALLOW GRAVE begins with either a tribute or a rip off of the shower scene in PSYCHO. (I'm leaning toward rip off.) After that it gets worse and then surprisingly gets better, almost to the point of being original. Bad acting and amateurish directing bog down a fairly interesting little story, but the film already surpasses many in the ""Yankee comes down South to get killed by a bunch of rednecks"" genre because it is actually shot in the South.<br /><br />A group of college girls head to Ft. Lauderdale for summer vacation and are waylaid in Georgia by a flat tire after getting off the main road. (Note to Yankees: stay on the highway when you go to Florida.) Sue Ellen (Lisa Stahl) has to pee so she heads into the woods. When she finally finds a good spot to do her business she witnesses the local sheriff (Tony March) strangle his mistress (Merry Rozelle) to death. (Note to Yankees: do not wander off into the woods when in the South; not because you might witness a murder, but you may run across a marijuana plantation.) This is the point where the story, not the movie, actually comes close to being good.<br /><br />While Tony March will never have to practice his Oscar speech, his Sheriff Dean becomes a creepy facsimile of a normal guy torn by what he has done and what he must do. Tom Law is likable as Deputy Scott and is as authentic a Southern deputy as I've seen since Walton Goggins (Deputy Steve Naish) in HOUSE OF 1000 CORPSES.<br /><br />A few scenes in the movie are worth the mention. The girls stop at a BBQ in South Carolina and display their racism when a big black guy checks them out. Sue Ellen runs into a barn to hide behind some hay bales and in a shockingly realistic moment a large snake is hiding in the hay with her.<br /><br />And in the strangest scene, Sheriff Dean makes like he's about to rape Patty (Carol Cadby) and tells her to take off her clothes. Dean has turned the radio up to drown out the noise of what he's about to do. The preacher on the radio needs to go back and read his Bible. His sermon is about how Jezebel is saved by the blood of Jesus Christ. I feel sorry for this preacher's flock. Jezebel was in the Old Testament a few thousand years before Christ was born and by no means is she one of the five people you are going to meet in Heaven.",negative,0,1,0,0,0,0,0,1,1,0,0,0,0
"Many of the American people would say...What??? to my opening comment. Yes I know that my comparison is without doubts an insult for the fans of the Master Akira Kurosawa, but if you analyze this movie, my comment is right. We have the peasant who goes to the town searching for help against a band of grasshoppers who wants to steal the harvest of the village. The great difference is the way that the story takes. Our samurais, a band of circus performers as in the original are a very complex mixture of personalities but at the end are what the village needs, HEROES. Please watch again this incredible movie (the Seven Samurai, obviously) and find another movies who has stolen the story and tried to get the same magic effect than the Masterpiece of Akira Kurosawa. A tip is The 13th Warrior with Antonio Banderas, Michael Crichton copied the story to wrote his Best seller's, but he didn't found the third foot of the cat.",positive,0,0,0,0,0,0,0,0,1,0,0,0,1
"Finally a thriller which omits the car chases, explosions and other eye catching effects. The movie combines a simple plot (assasination of a french president) with an excellent background. It takes a look behind mans behavior with authorities, and explains why we would obey almost every order (even murder) which would be given to us.<br /><br />Furthermore it shows us how secret services can manipulate the run of history and how hardly they can be controlled. The best thing on this movie is, that there is no classic ""Hollywood end"" which can easily be predicted.",positive,0,0,0,0,0,0,0,0,1,0,0,0,1
"Trite, clich__ dialog and plotting (the same kind of stuff we saw all through the 1980s fantasy movies), hokey music, and a paint-by-numbers characters knocks this out of the running for all but the most hardcore fans.<br /><br />What saves this film from the junk heap is the beautiful crutch of Bakshi's work, the rotoscoping, and the fact that Frank Frazetta taught the animators how to draw like him. This is Frazetta...in motion. The violence is spectacular and the art direction and animation are unlike any other sword & sorcery movie of the period.<br /><br />I like to watch this with the sound off, playing the soundtrack to the first Conan movie instead.",negative,0,1,0,0,0,0,0,0,1,0,0,0,0
"I thought it would at least be aesthetically beautiful. It was slow, pretentious, and boring. I almost fell asleep. There are some decent songs, but there is this one song at the end which is just some guy yelling out ""Yaowwww!"" while someone taps randomly on a wooden object. That being said, there are some pretty songs, but it's not worth seeing hte movie over. Go on itunes (they have the album), preview it, and choose the good ones. <br /><br />Half the movie is some guy making tea. Well, that's a slight exaggeration. But you'll see what I mean if you see it. That being said: DON'T SEE IT!",negative,0,1,0,0,1,0,1,0,0,0,0,0,0
"An unforgettable masterpiece from the creator of The Secret of Nimh and The Land Before Time, this was a very touching bittersweet cartoon. I remember this very well from my childhood, it was funny and sad and very beautiful. Well it starts out a bit dark, a dog who escaped the pound, and gets killed by an old friend, ends up in Heaven, and comes back. But it becomes sweet when he befriends an orphaned girl who can talk to animals. Some scenes were a bit scary contrary to other cartoons, like the dream sequence of Charlie, but everything else was okay,and the songs were fair. A memorable role of Burt Reynolds and Dom DeLuise, I just love that guy, ahehehe. And Judith Barsi of Jaws The Revenge, may God rest her soul, poor girl, she didn't deserve to die, but she is in Heaven now, all good people go to Heaven. Overall this is a very good animated movie, a Don Bluth classic enough to put anime and Disney to shame. Recommended for the whole family. And know this, if you have the original video of this, you'll find after the movie, Dom DeLuise has a very important and special message, gotta love that guy, ahehehe.",positive,0,0,1,0,0,1,0,0,1,1,1,0,1
"This was filmed back-to-back with the 1992 re-make of Conan Doyle's famous novel 'The Lost World'. And it shows.<br /><br />The film starts promisingly enough, with a ruthless organization intending to exploit the lost world and Challenger et al returning to defend the prehistoric plateau, but then things go downhill. Everybody is stranded on the plateau and we're left with a feeble, boring, over-length rehash of the first film.<br /><br />The dinosaurs (who are hardly ever seen) are just laughable. Are we expected to take that cuddly toy that's supposed to be an ankylosaur seriously? And the tyrannosaur seems rooted to the spot.<br /><br />Do yourself a favor and get hold of the 1925 silent version of the Lost World. Unbelievably in this age of CGI and other advanced effects, the twenties version is the best and will remain so until somebody finally decides to do a decent re-make.",negative,0,1,0,0,1,0,1,0,0,0,0,0,0
