Review,Classification,Disgust,Disappointment,Sadness,Confusion,Anger,Fear,Indifference,Surprise,Interest,Happiness,Touched,Motivation,Reflective
"For die-hard Judy Garland fans only. There are two (2) numbers that are really good -- one where she does a number with an older cleaning lady (you've all seen the pics), and a pretty good number at the very end. There are a couple of scenes where the lines are funny. But, basically, the script is so bad and the movie so dated that it's hard not to cringe at the awfulness throughout. But it's worth the 2.50 to rent the movie -- just be prepared to fast-forward it.",negative,0,1,0,0,0,0,1,0,0,0,0,0,0
"I really like this film... when I started to watch it I thought I would get bored pretty soon, but it surprised me... I thought it was a great film and have seen it a few times now. The characters are believable and I have to say that I fell in love with Brian Austin Green all over again (the first time being Beverly Hills 90210). I would recommend this film if you are a fan of his, but I do agree with another comment made earlier, that the ending is sort of disappointing. I would have loved it to turn out a little different! Never mind though, good gripping story.",positive,0,0,0,0,0,0,0,1,1,1,0,0,0
"This was my second time watching the film (via the French-language version as opposed to the first, which was dubbed in Italian) and I feel that it improves on subsequent viewings.<br /><br />A compelling if slowly built-up character study that's beautifully shot and with the Parisian settings being equally impressive. In the long run, it's not top-grade Polanski and I would rank it at number 9 in his filmography but it's still a confident mix of subtle chills and, surprisingly, often broad comedy. It also features a fine cast, all of whom are in good form, but especially Isabelle Adjani, Melvyn Douglas and Jo Van Fleet.<br /><br />Even so, I'm a bit baffled by the sudden compulsion for Trelkovsky to 'change' into the previous tenant; apart from the owner of the caf茅 opposite the apartment building, where he is given whatever Simone used to have without asking him if he wished any different, there is little to indicate (as far as I could discern, anyway) that this is what everybody wanted of him! Okay, so he found Simone's belongings still lying in the apartment but what exactly drove him to wear her dresses and make himself up as her (even if he apparently started doing this unconsciously)? Following his nightmarish visions in the bathroom, the last section of the film (where Adjani all but disappears) is almost anti-climactic - especially the scene where the landlord and the other tenants witness his attempted suicide as if it were a night at the Opera, a concept which had already been used 46 years earlier by Jean Cocteau in THE BLOOD OF A POET (1930)!<br /><br />The ending, then, is at once predictable and unresolved: just what made the two occupants of this particular apartment jump out of the window?!; I remember this factor bugging me on first viewing as well, and I'm sorry to say it's no clearer now! Mind you, the film's first two-thirds are pretty solid but I wish that Polanski had been less reliant on obscure plot points throughout.",positive,0,1,0,1,0,0,0,0,0,0,0,0,1
"This is one of the most spiritual movies I have ever seen. I headed up with about 150 people to St. George and we saw this movie in the visiting center of the St. George temple.. Not one person had dry eyes in the audience. Also, there were some non- religious and anti-Mormon people in the audience who felt the spirit of the movie and were touched by the captivating music and reenactment of the story of the pioneers and the hardships they faced because of their beliefs.<br /><br />I recommend this movie for anyone who wishes to understand more about Joseph and the hardships that the pioneers went through. After all, it is apart of American History.",positive,0,0,0,0,0,0,0,0,1,1,1,0,0
"As a casual listener of the Rolling Stones, I thought this might be interesting. Not so, as this film is very 'of its age', in the 1960's. To me (someone born in the 1980's) this just looks to me as hippy purist propaganda crap, but I am sure this film was not made for me, but people who were active during th '60's. I expected drugs galore with th Stones, I was disappointed, it actually showed real life, hard work in the studio, So much so I felt as if I was working with them to get to a conclusion of this god awful film. I have not seen any of the directors other films, but I suspect they follow a similar style of directing, sort of 'amatuerish' which gave a feeling like the TV show Eurotrash, badly directed, tackily put together and lacking in real entertainment value. My only good opinion of this is that I didn't waste money on it, it came free with a Sunday paper.",negative,0,1,0,0,1,0,1,0,0,0,0,0,0
"I cannot believe that the Indian film industry still puts out such third-rate dross as Waqt. For starters, the storyline is totally implausible 聳 spoilt son gets thrown out of family home so as to teach him some self-sufficiency. So what does he do? He promptly goes on to win some national talent contest by doing some star jumps in front of a panel of judges (I honestly am not joking here). In the meantime, his dad is dying of lung cancer, but keeps it a secret from the son, but he survives long enough to see his son become famous, to see his new grandson and also make a new toy giraffe with his own hands.<br /><br />The acting is cringe worthy in its hamminess 聳 no effort was made to try and act in any convincing manner by any of the main players in this film. As usual for Indian films, the family lived in a huge mansion and seemed relatively untouched by the concerns of the real world.<br /><br />To be honest, the main losers when such dire films are made are the intelligent viewers who made the mistake of seeing such a film. The actors, such as Amitabh Bachchan and Akshay Kumar, will still be revered as Gods by those people who have nothing but blind faith in Bollywood.",negative,1,1,0,0,1,0,0,0,0,0,0,0,0
"The next-to-last episode aired of the original Star Trek series is an interesting, sometimes melancholy installment that proves the show was still exploring its characters even at this point in the third season; though flawed, 'All Our Yesterdays' has its moments and overall a moody, compelling feel to it. Kirk, Spock, and McCoy beam down to a planet, assuming they are arriving in the nick of time to save or at least give some warning to whatever populace is there, since the planet's sun is due to explode within hours. But as it turns out, the people there are all too aware of the planet's fate, and using a kind of time travel device, have escaped into the past. Each person has been able to choose the time and place in the past where he or she would like to live at a 'library,' run by an elderly man named Mr. Atoz. Atoz assumes the three men are looking for a past to live in as well, and shows them various periods from which they can choose on viewers. There is some rather forced confusion at the start of the episode, with lines like:<br /><br />McCoy- Where did they go? Atoz- Wherever they wanted to.<br /><br />The misunderstanding could be cleared up rather easily, but for plot purposes, it isn't, and soon Kirk finds himself transported back to a period resembling 18th Century England, while Spock and McCoy are sent to an ice age, 5000 years in the planet's past. From here, the main focus is on Spock and his relationship with a woman exiled to this time by a tyrant as punishment. Spock begins acting increasingly emotional, showing anger toward McCoy and deep affection for Zarabeth, the woman. He eventually realizes that he is reverting back to the primitive emotional state of his ancestors on Vulcan, 5000 years ago. Kirk makes his way back to the library first, and finally convinces Mr. Atoz they don't belong in his planet's history. Spock and McCoy return just before it's too late, leaving Zarabeth behind; the Enterprise beams the three up and speeds away as the sun explodes, destroying the planet. The interaction between Spock and Zarabeth provides this episode's most memorable moments, though Kirk's adventure into the 'English' past is amusing. All in all, a very decent latter-day Star Trek outing.",positive,0,0,0,0,0,0,0,0,1,1,0,0,1
"Val Kilmer... Love or loath him, sometimes he gets under the skin of a character and pulls out a performance that makes you go 'Hey! This guy is a GREAT actor!' He did in the leather pants of Jim in The Doors and he's done it again in the leather underpants of John.<br /><br />Revolving around the fall and fall of uber porn king John Holmes, Kilmer strutts to his knees as we unravel one of the biggest murder mysteries hollywood has never solved for over twenty years, with Holmes the key suspect to a brutal Manson-style slaughter.<br /><br />What Kilmer does so effortlessly is exhude the low-life of the celebrity, the do anything to anyone craving that overwhelms anyone who had it and then lost it. Go see him, you'll know what I mean.",positive,0,0,0,0,0,0,0,1,1,0,0,0,1
"I remember the days in which Kim Basinger was nothing more than a pretty face who adorned movies with typical characters of dumb Blondie,romantic interest or damsel in danger.But,everything changed when she won an Academy Award as Best Supporting Actress for her role in the excellent movie L.A. Confidential,and I think I was not the only one who was surprised by her solid performance.However,after that moment,her career did not follow the ideal path.Sure,the prestige she won thanks to that movie made her to participate on moderately prestigious movies (like People I Know or The Door in the Floor),but we have never seen her again on a substantial character.The movie While She Was Out does nothing to put her on that situation; and it is not only that her character is not too tasty,but also that the movie is really crappy.The screenplay from this movie could not be more hollow and basic.However,Basinger brings some conviction to her character,and that makes this poor movie to win a few points.This movie is full of clich茅s and generic villains.The work of director Susan Montford is truly disastrous for many reasons but mainly,because the movie never gets a good rhythm and tone.The ending from this movie is extremely ridiculous.I do not recommend While She Was Out at all.This film commits the capital sin of being boring.",negative,1,1,0,0,0,0,0,0,0,0,0,0,1
"May I start off by saying that Casey Affleck is a very talented actor and I respect his work very much. I wish he was in more movies that showcased his talent. With this said, Soul Survivors was a very, very bad movie. Very bad.<br /><br />I would have to say that I lay almost all the blame on the poor script. Affleck is a very talented actress, Wes Bentley had an outstanding performance in American Beauty, Melissa Sagemiller did well, and Eliza Dushku is currently the it girl in Hollywood. I don't think any of the actors really got into the script, and I understand why. To say that this movie belongs to the horror genre is an overstatement. It did have the twists and turns you would expect, but they just didn't lead anywhere... except to more confusion. I just found the ending very anti-climatic, because it just didn't seem to make any sense or really answer any of the questions that I had about the storyline.<br /><br />I wish I could give this movie a good review, but I can't. In all honesty, the only thing I think you will find scary about this movie is that you paid for it.",negative,0,1,0,1,0,0,1,0,0,0,0,0,0
