Review,Classification,Disgust,Disappointment,Sadness,Confusion,Anger,Fear,Indifference,Surprise,Interest,Happiness,Touched,Motivation,Reflective
"I was dying to see this once I saw the ridiculous MEATBALLS poster and divined that it had to be the best satire ever. What a brilliant idea for a satire--the genre is rife. Unfortunately, the finished product (as I think all involved probably realize) is a catalogue of missed opportunities, not-quite-there performances and (thankfully!) a few extremely hilarious, inspired bits. Janeane Garafolo, who is very striking, looks really bad here, probably because she is uncomfortably struggling to make her flat role funny. David Hyde Pierce is just sad to watch, trying to hard to be funny and looking like a Castro nerd. Molly Shannon is so funny just SEEING her makes you laugh, but somehow her segment fails to snowball into something hysterical. Paul Rudd had great teen mannerisms and was sexy as hell, the other guys are also really funny (the nerdier ones). I think the problem is the director just doesn't move things along at the right pace. He starts out very deadpan, and that sets the monotone. But when he lets things get really outrageous (the drug sequence is the second funniest moment I've had all year in movies, the first also coming in a lame movie: Andrea Martin in ALL OVER THE GUY complaining about the movie IN & OUT), it's just plain funny. I wanted this movie to work so badly, but it just didn't. The clothes and styling for 1981 are 99.9% PERFECT, and the very few songs used are also perfect. This ends up as a medium-bad MAD TV episode, complete with frustratingly overlong sketches.",negative,0,1,1,1,0,0,1,0,0,0,0,0,0
"The movie is basically the story of a Russian prostitute's return to her home village for the funeral of a sister/friend. There are a couple of other minor story lines that might actually be more interesting than the one taken, but they are not fully explored. The core of the movie is the funeral, wake, and later controversy over the future of a community of crones that make dolls and sell them to buy vodka but are now missing the artist who made their dolls marketable. Apparently, the movie is unedited. The prostitute's journey from the city to the village is an excruciatingly endless train ride and tramp through the mud. Maybe that's supposed to impress us with the immensity of the Russian landscape. The village itself, such as it is, is inhabited by a legion of widows and one male, the consort of the dead girl. Continuing the doll business is problematic for everyone involved and eventually seems impossible. Most of the film is shot with a hand-held camera that could induce nausea. Another problem for Western viewers is that subtitles don't include the songs and laments of the crones. Don't go to this movie unless you're fluent in Russian.",negative,0,1,1,0,0,0,1,0,0,0,0,0,1
"I thought that I was never going to find a horror movie as bad as ""The Return of the Texas Chainsaw Massacre"", but this film compete with it.<br /><br />I麓m not a person that get asleep when watching a movie, but I did it 15 minutes after the Trance started. I woke up, and started to watching it agian. Why did I deserve that? All the movie was a torture, I have to use fast forward to watch it complete.<br /><br />I can麓t stand why one of my favourites actors of all time (MR. WALKEN) could done this thing. I have to think that he made the director a favor, or he was really in the need of money, because film after film he is doing, he is ruining himself; and so fast...<br /><br />What about the movie? it麓s not scary, stupid plot, characters are awful (but I really liked the one played by Jared Harris), effects are very poor, lack of deaths & blood, etc; in three words, it has anything. And I mean it. Can麓t stand how a director can make a film like this.<br /><br />Anyway, When I got more disappointed was when I saw in the video cover, that the film was presented by ""Stephen King"", I think he could never present this crap, no? (I rented it in Argentina). I not recommend it in a million years.<br /><br />I rate this movie with a 2 out of 10. (As I say in my ""Return of the Texas Chainsaw Massacre"" review, there will be always a worse movies, thats why it don麓t deserves a 1 out of 10)",negative,0,1,0,0,1,0,1,0,0,0,0,0,0
"....after 16 years Tim Burton finally disappoints me!!!! Whatever happened to the old Burton who read ""The Dark Knight Returns"" by Frank Miller as research for his preparation to direct Batman back in 1988-89? By the looks of it Burton didn't research the book nor the movie cause he got everything WRONG! This movie sucks! It's not as good as the original and it doesn't deal with the same subject as the original. If you want a good ape movie watch the original.<br /><br />**out of****stars",positive,0,1,0,0,1,0,0,0,0,0,0,0,0
"This movie is proof that film noire is an enduring style, and extremely worthy of stay alive. For me, it is he best example of film noire since Chinatown.<br /><br />It will, unfortunately, never get the recognition it deserves. It was never promoted properly when it was first released and has had to build its cadre of fans through venues like Vanguard Cinema and word of mouth rental referrals.<br /><br />I highly recommend that people looking for something more than mindless entertainment rent this movie and delved into its highly convoluted plot.",positive,0,0,0,0,0,0,0,0,1,0,0,0,1
"This is a truly remarkable piece of cinematic achievement. From the very start I was utterly hooked into the (true) story when Lt. Viktor Burakov (Stephan Rea) weeps while performing the autopsies on the remains of the children's bodies. This then is the compelling story of Andrei Chikatilo, wonderfully played by Jeffrey DeMunn (The Green Mile). In fact, he plays it so well and so sympathetically that the viewer almost starts to pity him, until we remember what he is. The psychiatrist Dr. Alexandr Bukhanovsky, wonderfully played by Max Von Sydow was utterly believable in every detail, and the point he makes when talking about paranoia in the Soviet Union, is made all too apparent by the behaviour of the local Communist Commissar Bondarchuk played by Joss Ackland. For me though, the outstanding performance was from Donald Sutherland, proving once again what a superb character actor he really is. I was almost in tears when he told Burakov how the FBI had so closely followed and admired his work. This film puts Silence of the Lambs into the shade, from the atmospheric and bleak Soviet landscape, to the superlative performances by everyone involved. <br /><br />I rate this film 10/10",positive,0,0,0,0,0,0,0,0,1,0,1,0,0
"I caught this at a screening at the Sundance Film Festival and was in Awe over the absolute power this film has. It is an examination of the psychological effects on our brave soldiers who join the military with hopes that they will protect and serve our country with honor as well as be taken care of by our government for it. The film details the psychological changes that takes place in boot camp as the soldiers are turned into ""killers for their country"" and put into the war and the after effects once they return home. It also portrays the effect that killing has on the human psyche. It pays homage to the Soldiers and never ever criticizes the soldiers unlike other films, instead criticizes a system that is not prepared to and does not take care of all the physical and psychological needs of the returned Vets.<br /><br />This film is powerful, moving, emotional and thought provoking. It stands as a call to arms to support our troops not only by buying stickers and going to parades but by actually listening to them, and helping to support a change in the way their health and well being is taken care of after the killing ends.<br /><br />The best film of the Festival so far, ****/****",positive,0,0,0,0,0,0,0,0,1,0,0,1,1
"It was a good story, but not very well told. I liked the themes and the main story line, which wasn't as clear as it could have been. Maybe there was too much going on and a lack of ability to reign it all in. The acting was okay to cheesy, some were stronger than others and even the stronger actors had their moments of lesser quality acting. It took me a couple of months to get through the entire movie because it didn't keep my attention and the flow was just bad. I only just finished watching it and I'm glad I did as the movie finally gets moving and has some continuity toward the end. Again, a good story, but the delivery was sub par. Would recommend it for the story line and maybe a little eye candy, and I do mean, a little.",negative,0,1,0,0,0,0,1,0,0,0,0,0,0
"I'm a big fan of movies that make you think. I'm still thinking long and hard about this one, fully seven minutes after the credits have rolled. What's really confounding my neurons is the attempt to fathom the relevance to the plot of the naked girlie fondling her slick oily body, made extra-tacky by being filmed on cheap video. This happens three times and I was certain it would be explained in the end. I put my trust in the film-makers that this lurid attempt to lure viewers would be justified. It was not.<br /><br />The movie has to be the most apathetic I've come across in the genre. The sets look like a cross between a 1970s Dr Who set and someone's ill-formed idea of a sponge-painted living room. The lighting is unimaginative (if your sets are going to be that bad, at least film them in semi-darkness to hide the plasterboard and create some ambiance). Of the abducted quartet, the girl stands out as being particularly lame, but none of them is given a personality. The aliens' plans for world domination are just plain silly - all they need is a birth control pill and their problems are solved. Most of the movie consists of people running down corridors. Yes, it really is that exciting. The ""ray gun"" special effect is ... curious, to say the least (what use is a weapon that takes a 15-second concentrated blast to kill, and even then the guy comes back for more?). The script is like a bad episode of The A-Team, and the ladies' hairstyles come from the same era, so they look like school teachers instead of an advance team of murderous alien invaders. When we finally get to see what the aliens really look like, they're in suspended animation and never even get out of their boxes. The resolution of the story - traitor alien simply has a few words with invading fleet commander and without a second thought he heads home - is truly the sign of a writer who's never had an idea more complex than a Saturday morning cartoon (I mean the bad ones with no plot, action, or characterization) in his or her life.<br /><br />But seriously, what is with the naked chick?! Was it really just so they could justify putting flesh on the DVD cover to boost sales?",negative,1,1,0,1,0,0,0,0,0,0,0,0,0
"Saw this piece of work at a film fest in CA. My god, what was the director thinking? Film professors should use this film as a case study on what NOT to do when making a short film. First off, this project makes absolutely no sense whatsoever. The film takes place partially in ""The Waystation"", some stupid vapid bar in the middle of nowhere, where nothing really takes place.<br /><br />THe acting is beyond bad. So bad in fact that I almost thought it was a comedy. The lead actress Julia Reading is a step below the acting in most amateur porn films. There is one or two decent performances, including the guys who played Jacob and Fenner but it's like the director had no clue on how to work or use his thespians. The only thing worse than the acting was the dialogue, which bordered on absurd. The writer (whom I assume is also the director) writes each character like they are auditioning for a comic book villain.<br /><br />The overall production value is pretty good, but to be honest, with a film this bad it's easy to overlook it. The production design is pretty good, although the Waystation looks like any ordinary bar. The costumes and make-up are okay, and I understand the production was working with a low budget. It's just when the characters speak, or they try and push the plot forward, the film unravels into a muck of crap.<br /><br />As I've said, this film is god awful. It's like the director/writer watched a lot of sci-fi films and threw all the parts he liked into a blender and came up with this. My only hope is that he used other people's money on this, because if he used his own, he's a total sucker.",negative,1,1,0,1,1,0,0,0,0,0,0,0,0
